Client	Project	Section	Tool	Hours	Urgency
Client 1	Project 1	Task 1	Tool A	4	NO
Client 1	Project 1	Task 3	Tool A	2	NO
Client 1	Project 1	Task 4	Tool A	2	NO
Client 1	Project 1	Task 1	Tool A	2	NO
Client 1	Project 1	Task 1	Tool A	2	NO	
Client 1	Project 1	Task 4	Tool A	2	NO
Client 1	Project 1	Task 4	Tool A	2	NO
Client 1	Project 1	Task 3	Tool A	2	NO
Client 1	Project 1	Task 3	Tool A	1	NO
Client 1	Project 1	Task 3	Tool C	2	NO
Client 1	Project 1	Task 4	Tool C	2	NO
Client 1	Project 1	Task 5	Tool B	4	NO
Client 1	Project 1	Task 3	Tool B	2	NO
Client 1	Project 1	Task 4	Tool B	1	NO
Client 1	Project 1	Task 3	Tool B	1	NO
Client 1	Project 1	Task 4	Tool B	3	NO
Client 1	Project 1	Task 3	Tool B	3	NO
Client 1	Project 1	Task 5	Tool B	3	NO
Client 1	Project 1	Task 1	Tool B	3	NO
Client 1	Project 1	Task 4	Tool B	2	NO
Client 1	Project 1	Task 3	Tool B	2	NO
Client 1	Project 1	Task 5	Tool B	2	NO
Client 1	Project 1	Task 1	Tool B	2	NO
Client 1	Project 1	Task 5	Tool D	1	NO
Client 1	Project 1	Task 5	Tool D	3	NO
Client 1	Project 2	Task 6	Tool A	2	NO
Client 1	Project 2	Task 6	Tool A	1	NO
Client 1	Project 2	Task 6	Tool C	3	NO
Client 1	Project 2	Task 7	Tool C	2	NO
Client 1	Project 2	Task 9	Tool C	2	NO
Client 1	Project 2	Task 9	Tool C	2	NO
Client 1	Project 2	Task 8	Tool C	1	NO
Client 1	Project 2	Task 3	Tool C	1	NO
Client 1	Project 2	Task 3	Tool C	2	NO
Client 1	Project 2	Task 3	Tool C	3	NO
Client 1	Project 2	Task 3	Tool A	2	NO
Client 2	Project 3	Task 10	Tool A	3	NO
Client 2	Project 3	Task 11	Tool A	3	NO
Client 2	Project 3	Task 10	Tool A	1	NO
Client 2	Project 3	Task 12	Tool A	3	NO
Client 2	Project 3	Task 11	Tool A	3	NO
Client 2	Project 3	Task 11	Tool A	5	NO
Client 2	Project 3	Task 11	Tool A	2	NO
Client 2	Project 3	Task 11	Tool A	2	NO
Client 2	Project 3	Task 12	Tool A	2	NO
Client 2	Project 3	Task 10	Tool A	3	NO
Client 2	Project 3	Task 10	Tool A	3	NO
Client 2	Project 3	Task 12	Tool A	5	NO
Client 2	Project 3	Task 12	Tool A	4	NO
Client 2	Project 3	Task 10	Tool A	4	NO
Client 2	Project 3	Task 10	Tool A	3	NO
Client 2	Project 3	Task 10	Tool A	3	NO
Client 2	Project 3	Task 10	Tool A	4	NO
Client 2	Project 3	Task 10	Tool A	3	NO
Client 2	Project 3	Task 11	Tool A	3	NO
Client 2	Project 3	Task 11	Tool A	4	NO
Client 2	Project 3	Task 11	Tool A	3	NO
Client 2	Project 3	Task 11	Tool A	4	NO
Client 2	Project 3	Task 11	Tool A	5	NO
Client 2	Project 3	Task 10	Tool A	1	NO
Client 2	Project 3	Task 11	Tool A	1	NO
Client 2	Project 3	Task 12	Tool A	1	NO
Client 2	Project 3	Task 11	Tool A	1	NO
Client 2	Project 3	Task 11	Tool A	2	NO
Client 2	Project 3	Task 11	Tool A	1	NO
Client 2	Project 3	Task 11	Tool A	1	NO
Client 2	Project 3	Task 12	Tool A	1	NO
Client 2	Project 3	Task 10	Tool A	1	NO
Client 2	Project 3	Task 10	Tool A	1	NO
Client 2	Project 3	Task 12	Tool A	1	NO
Client 2	Project 3	Task 12	Tool A	1	NO
Client 2	Project 3	Task 10	Tool A	1	NO
Client 2	Project 3	Task 10	Tool A	1	NO
Client 2	Project 3	Task 10	Tool A	1	NO
Client 2	Project 3	Task 10	Tool A	1	NO
Client 2	Project 3	Task 10	Tool A	1	NO
Client 2	Project 3	Task 11	Tool A	1	NO
Client 2	Project 3	Task 11	Tool A	1	NO
Client 2	Project 3	Task 11	Tool A	1	NO
Client 2	Project 3	Task 11	Tool A	1	NO
Client 2	Project 3	Task 11	Tool A	1	NO
Client 2	Project 3	Task 12	Tool A	1	NO
Client 2	Project 3	Task 12	Tool D	2	NO
Client 2	Project 3	Task 12	Tool D	2	NO
Client 2	Project 3	Task 12	Tool B	6	NO
Client 2	Project 3	Task 12	Tool B	6	NO
Client 2	Project 3	Task 12	Tool D	2	NO
Client 2	Project 3	Task 12	Tool A	6	NO
Client 3	Project 5	Task 13	Tool D	1	NO
Client 3	Project 5	Task 13	Tool D	2	NO
Client 3	Project 5	Task 13	Tool D	3	NO
Client 3	Project 5	Task 13	Tool D	3	NO
Client 3	Project 5	Task 13	Tool D	1	NO
Client 3	Project 5	Task 13	Tool D	1	NO
Client 4	Project 4	Task 13	Tool E	3	NO
Client 4	Project 4	Task 14	Tool E	3	NO
Client 1	Project 1	Task 2	Tool A	2	NO
Client 1	Project 1	Task 4	Tool A	1	NO
Client 1	Project 1	Task 1	Tool A	1	NO
Client 1	Project 1	Task 5	Tool A	1	NO
Client 1	Project 2	Task 2	Tool A	1	NO
Client 1	Project 2	Task 2	Tool C	1	NO
Client 1	Project 1	Task 2	Tool A	5	NO
Client 1	Project 1	Task 2	Tool A	5	NO
Client 1	Project 1	Task 2	Tool A	5	NO
Client 1	Project 1	Task 2	Tool C	4	NO
Client 1	Project 1	Task 2	Tool C	2	NO
Client 1	Project 1	Task 2	Tool B	5	NO
